record_type,model_id,baseline_model,resize,mode,metric,n,mean,sample_sd,complete,seed,epoch,value
parity_formal,mn_l4,generic_vs_fast,192,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l4,generic_vs_fast,192,logits_parity,allclose_all,8,,,True,,,True
parity_formal,mn_l2,generic_vs_fast,224,logits_parity,max_abs_diff,8,0.0008697509765625,0.00015215130062966613,True,,,
parity_formal,mn_l2,generic_vs_fast,224,logits_parity,mean_abs_diff,8,0.0001296512309636455,3.279115969533174e-06,True,,,
parity_formal,mn_l2,generic_vs_fast,224,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l2,generic_vs_fast,224,logits_parity,allclose_all,8,,,True,,,True
parity_formal,mn_l4,generic_vs_fast,224,logits_parity,max_abs_diff,8,0.0009765625,0.0,True,,,
parity_formal,mn_l4,generic_vs_fast,224,logits_parity,mean_abs_diff,8,0.00015203188195300754,4.593204058266857e-06,True,,,
parity_formal,mn_l4,generic_vs_fast,224,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l4,generic_vs_fast,224,logits_parity,allclose_all,8,,,True,,,True
parity_formal,mn_l2,generic_vs_fast,256,logits_parity,max_abs_diff,8,0.0009765625,0.0,True,,,
parity_formal,mn_l2,generic_vs_fast,256,logits_parity,mean_abs_diff,8,0.0001285444050154183,2.1167197842516677e-06,True,,,
parity_formal,mn_l2,generic_vs_fast,256,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l2,generic_vs_fast,256,logits_parity,allclose_all,8,,,True,,,True
parity_formal,mn_l4,generic_vs_fast,256,logits_parity,max_abs_diff,8,0.0009765625,0.0,True,,,
parity_formal,mn_l4,generic_vs_fast,256,logits_parity,mean_abs_diff,8,0.00014853851462248713,2.4933861632695e-06,True,,,
parity_formal,mn_l4,generic_vs_fast,256,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l4,generic_vs_fast,256,logits_parity,allclose_all,8,,,True,,,True
parity_formal,mn_l2,generic_vs_fast,320,logits_parity,max_abs_diff,8,0.0009765625,0.0,True,,,
parity_formal,mn_l2,generic_vs_fast,320,logits_parity,mean_abs_diff,8,0.00012269214857951738,2.264863583225415e-06,True,,,
parity_formal,mn_l2,generic_vs_fast,320,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l2,generic_vs_fast,320,logits_parity,allclose_all,8,,,True,,,True
parity_formal,mn_l4,generic_vs_fast,320,logits_parity,max_abs_diff,8,0.0009765625,0.0,True,,,
parity_formal,mn_l4,generic_vs_fast,320,logits_parity,mean_abs_diff,8,0.00016148562281159684,3.707030868256265e-06,True,,,
parity_formal,mn_l4,generic_vs_fast,320,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l4,generic_vs_fast,320,logits_parity,allclose_all,8,,,True,,,True
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,generic_top1,10000,,,True,42,199,68.8
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,fast_top1,10000,,,True,42,199,68.78
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,top1_delta_pp,10000,,,True,42,199,-0.02
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,argmax_agreement,10000,,,True,42,199,0.9998
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,argmax_mismatch_count,10000,,,True,42,199,2
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,max_abs_logit_diff,10000,,,True,42,199,0.00390625
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,mean_abs_logit_diff,10000,,,True,42,199,0.00023295812463760375
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,generic_top1,10000,,,True,43,199,68.26
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,fast_top1,10000,,,True,43,199,68.27
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,top1_delta_pp,10000,,,True,43,199,0.01
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,argmax_agreement,10000,,,True,43,199,0.9999
checkpoint_parity_run,mn_l2,generic_vs_fast,160,epoch199_ema_full_cifar100,argmax_mismatch_count,10000,,,True,43,199,1
